year,month,retail_wan,source
2018,1,3.2,海通证券整理·乘联会零售
2018,2,2.8,海通证券整理·乘联会零售
2018,3,5.1,海通证券整理·乘联会零售
2018,4,6.2,海通证券整理·乘联会零售
2018,5,8.6,海通证券整理·乘联会零售
2018,6,6.4,海通证券整理·乘联会零售
2018,7,6.4,海通证券整理·乘联会零售
2018,8,8.1,海通证券整理·乘联会零售
2018,9,8.9,海通证券整理·乘联会零售
2018,10,11.2,海通证券整理·乘联会零售
2018,11,12.8,海通证券整理·乘联会零售
2018,12,15.8,海通证券整理·乘联会零售
2019,1,9.7,海通证券整理·乘联会零售
2019,2,4.7,海通证券整理·乘联会零售
2019,3,10.4,海通证券整理·乘联会零售
2019,4,8.3,海通证券整理·乘联会零售
2019,5,8.9,海通证券整理·乘联会零售
2019,6,13.8,海通证券整理·乘联会零售
2019,7,5.9,海通证券整理·乘联会零售
2019,8,6.2,海通证券整理·乘联会零售
2019,9,6.0,海通证券整理·乘联会零售
2019,10,5.9,海通证券整理·乘联会零售
2019,11,7.1,海通证券整理·乘联会零售
2019,12,12.5,海通证券整理·乘联会零售
2021,1,16,乘联会零售·华西/东方证券月报汇编
2021,2,10,乘联会零售·华西/东方证券月报汇编
2021,3,20,乘联会零售·华西/东方证券月报汇编
2021,4,16,乘联会零售·华西/东方证券月报汇编
2021,5,19,乘联会零售·华西/东方证券月报汇编
2021,6,23,乘联会零售·华西/东方证券月报汇编
2021,7,22,乘联会零售·华西/东方证券月报汇编
2021,8,25,乘联会零售·华西/东方证券月报汇编
2021,9,32,乘联会零售·华西/东方证券月报汇编
2021,10,31,乘联会零售·华西/东方证券月报汇编
2021,11,38,乘联会零售·华西/东方证券月报汇编
2021,12,47,乘联会零售·华西/东方证券月报汇编
2022,1,34,乘联会零售·华西证券月报
2022,2,27,乘联会零售·华西证券月报
2022,3,44,乘联会零售·华西证券月报
2022,4,28,乘联会零售·华西证券月报
2022,5,34,乘联会零售·华西证券月报
2022,6,52,乘联会零售·华西证券月报
2022,7,48,乘联会零售·华西证券月报
2022,8,51,乘联会零售·华西证券月报
2022,9,60,乘联会零售·华西证券月报
2022,10,54,乘联会零售·华西证券月报
2022,11,59,乘联会零售·华西证券月报
2022,12,62,乘联会零售·华西证券月报
2023,1,33,乘联会零售·东方证券月报
2023,2,44,乘联会零售·东方证券月报
2023,3,54,乘联会零售·东方证券月报
2023,4,52,乘联会零售·东方证券月报
2023,5,58,乘联会零售·东方证券月报
2023,6,66,乘联会零售·东方证券月报
2023,7,64,乘联会零售·东方证券月报
2023,8,71,乘联会零售·东方证券月报
2023,9,74,乘联会零售·东方证券月报
2023,10,77,乘联会零售·东方证券月报
2023,11,83,乘联会零售·东方证券月报
2023,12,94,乘联会零售·东方证券月报
2024,1,70,乘联会零售·华西证券月报
2024,2,40,乘联会零售·华西证券月报
2024,3,75,乘联会零售·华西证券月报
2024,4,65,乘联会零售·华西证券月报
2024,5,80,乘联会零售·华西证券月报
2024,6,85,乘联会零售·华西证券月报
2024,7,90,乘联会零售·华西证券月报
2024,8,105,乘联会零售·华西证券月报
2024,9,115,乘联会零售·华西证券月报
2024,10,120,乘联会零售·华西证券月报
2024,11,130,乘联会零售·华西证券月报
2024,12,135,乘联会零售·华西证券月报
2025,1,70,乘联分会零售·12月为官方133.7万
2025,2,70,乘联分会零售·12月为官方133.7万
2025,3,100,乘联分会零售·12月为官方133.7万
2025,4,95,乘联分会零售·12月为官方133.7万
2025,5,105,乘联分会零售·12月为官方133.7万
2025,6,115,乘联分会零售·12月为官方133.7万
2025,7,100,乘联分会零售·12月为官方133.7万
2025,8,115,乘联分会零售·12月为官方133.7万
2025,9,135,乘联分会零售·12月为官方133.7万
2025,10,135,乘联分会零售·12月为官方133.7万
2025,11,140,乘联分会零售·12月为官方133.7万
2025,12,133.7,乘联分会零售·12月为官方133.7万
