date,close_yuan_per_g,source
2026-07-21,886.95,SGE Au99.99 收盘
2026-07-22,899.00,SGE Au99.99 收盘
2026-07-23,895.67,SGE Au99.99 收盘
2026-07-24,883.66,SGE Au99.99 收盘
2026-07-27,893.97,SGE Au99.99 收盘
2026-07-28,883.28,SGE Au99.99 收盘
2026-07-29,881.98,SGE Au99.99 收盘
2026-07-30,880.69,SGE Au99.99 收盘
2026-07-31,884.92,SGE Au99.99 收盘
2026-08-03,883.04,SGE Au99.99 收盘
2026-08-04,884.22,SGE Au99.99 收盘
2026-08-05,904.92,SGE Au99.99 收盘
2026-08-06,925.60,SGE Au99.99 收盘
2026-08-07,930.47,SGE Au99.99 收盘
2026-08-10,944.67,SGE Au99.99 收盘
2026-08-11,946.70,SGE Au99.99 收盘
2026-08-12,955.75,SGE Au99.99 收盘
2026-08-13,949.24,SGE Au99.99 收盘
2026-08-14,940.72,SGE Au99.99 收盘
2026-08-17,952.44,SGE Au99.99 收盘
2026-08-18,955.16,SGE Au99.99 收盘
2026-08-19,945.22,SGE Au99.99 收盘
2026-08-20,968.14,SGE Au99.99 收盘
2026-08-21,983.56,SGE Au99.99 收盘
2026-08-24,1004.21,SGE Au99.99 收盘
