year,name,vmax_ms,pmin_hpa,v_land_ms,cat,landfall_cn,scs_genesis
1949,CARMEN,44.7566,990.0,,4,0,0
1949,DELLA,59.6755,960.0,,5,0,0
1949,UNNAMED,11.8322,1000.0,,0,0,0
1949,ELAINE,29.8378,984.0,12.3467,2,1,0
1949,FAYE,44.7566,965.0,,4,0,0
1949,GLORIA,49.9011,960.0,39.6122,4,1,0
1949,HESTER,34.9822,980.0,,3,0,0
1949,IRMA,29.8378,980.0,24.6933,2,1,1
1949,IRMA,14.9189,988.0,14.9189,0,1,0
1949,UNNAMED,11.8322,1004.0,,0,0,0
1949,UNNAMED,24.6933,990.0,,2,0,0
1949,UNNAMED,11.8322,998.0,10.2889,0,1,1
1949,JUDITH,49.9011,960.0,,4,0,0
1949,UNNAMED,11.8322,1002.0,,0,1,0
1949,UNNAMED,11.8322,1004.0,,0,0,0
1949,JUDITH,14.9189,998.0,,0,0,0
1949,UNNAMED,11.8322,1002.0,,0,0,0
1949,KITTY,44.7566,952.0,,4,0,0
1949,LISE,44.7566,960.0,,4,0,0
1949,UNNAMED,29.8378,990.0,27.2655,2,1,0
1949,MADELINE,39.6122,973.0,,3,0,0
1949,NELLY,39.6122,980.0,19.5489,3,1,0
1949,UNNAMED,24.6933,985.0,,2,0,0
1949,UNNAMED,24.6933,990.0,,2,0,1
1949,UNNAMED,24.6933,990.0,,2,0,0
1949,UNNAMED,19.5489,1000.0,,1,0,0
1949,UNNAMED,19.5489,1000.0,11.8322,1,1,0
1949,OMELIA,34.9822,980.0,,3,0,0
1949,UNNAMED,24.6933,990.0,,2,0,0
1949,PATRICIA,69.9644,930.0,,5,0,0
1949,UNNAMED,29.8378,990.0,,2,0,0
1949,UNNAMED,19.5489,1000.0,,1,0,0
1949,RENA,29.8378,990.0,14.9189,2,1,0
1949,ALLYN,49.9011,960.0,,4,0,0
1949,BETTY,34.9822,996.0,,3,0,0
1949,CAMILLA,44.7566,970.0,,4,0,0
1950,UNNAMED,29.8378,984.0,,2,0,0
1950,DORIS,69.9644,930.0,,5,0,0
1950,UNNAMED,24.6933,992.0,14.9189,2,1,1
1950,ELSIE,44.7566,965.0,,4,0,0
1950,UNNAMED,11.8322,1002.0,11.8322,0,1,1
1950,UNNAMED,24.6933,990.0,,2,0,0
1950,GRACE,29.8378,982.0,,2,0,0
1950,FLOSSIE:GRACE,34.9822,975.0,11.8322,3,1,0
1950,UNNAMED,14.9189,997.0,11.8322,0,1,0
1950,UNNAMED,29.8378,983.0,,2,0,0
1950,HELENE,29.8378,984.0,14.9189,2,1,0
1950,UNNAMED,14.9189,992.0,11.8322,0,1,1
1950,UNNAMED,19.5489,992.0,,1,0,0
1950,UNNAMED,14.9189,995.0,,0,0,0
1950,UNNAMED,19.5489,998.0,,1,0,0
1950,UNNAMED,19.5489,996.0,,1,0,0
1950,UNNAMED,14.9189,994.0,,0,0,0
1950,IDA,34.9822,975.0,,3,0,0
1950,UNNAMED,14.9189,996.0,,0,0,0
1950,UNNAMED,29.8378,980.0,,2,0,0
1950,UNNAMED,24.6933,990.0,,2,0,0
1950,IDA,34.9822,980.0,,3,0,0
1950,UNNAMED,29.8378,990.0,,2,0,0
1950,JANE,59.6755,940.0,,5,0,0
1950,KEZIA,59.6755,945.0,,5,0,0
1950,UNNAMED,24.6933,995.0,,2,0,1
1950,LUCRETIA:NANCY,29.8378,980.0,,2,0,0
1950,MISSATHA,34.9822,974.0,,3,0,0
1950,UNNAMED,19.5489,1002.0,,1,0,0
1950,OSSIA,34.9822,975.0,,3,0,0
1950,UNNAMED,14.9189,996.0,14.9189,0,1,1
1950,UNNAMED,14.9189,1000.0,14.9189,0,1,1
1950,UNNAMED,11.8322,1003.0,,0,0,0
1950,PETIE,44.7566,963.0,,4,0,0
1950,UNNAMED,24.6933,995.0,,2,0,0
1950,UNNAMED,14.9189,1002.0,,0,0,0
1950,RUBY,59.6755,940.0,,5,0,0
1950,CLARA,64.8199,940.0,,5,0,0
1950,BILLIE,34.9822,985.0,,3,0,0
1950,DELILAH,29.8378,985.0,19.5489,2,1,0
1950,ELLEN,29.8378,990.0,,2,0,0
1950,FRAN,39.6122,990.0,,3,0,0
1951,GEORGIA,49.9011,970.0,,4,0,0
1951,HOPE,29.8378,980.0,,2,0,0
1951,IRIS,79.7388,909.0,,5,0,0
1951,JOAN,29.8378,980.0,,2,0,0
1951,UNNAMED,14.9189,998.0,11.8322,0,1,1
1951,UNNAMED,19.5489,992.0,13.3755,1,1,1
1951,KATE,34.9822,975.0,,3,0,0
1951,UNNAMED,24.6933,992.0,,2,0,0
1951,UNNAMED,14.9189,1002.0,,0,0,0
1951,UNNAMED,11.8322,1005.0,,0,0,0
1951,UNNAMED,11.8322,1006.0,,0,0,0
1951,LOUISE,79.7388,904.0,34.9822,5,1,0
1951,UNNAMED,14.9189,1002.0,,0,0,0
