LotArea,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,GarageCars,FullBath,TotRmsAbvGrd,Fireplaces,MasVnrArea,GarageYrBlt,BsmtFinSF1,OpenPorchSF,ExterQual,KitchenQual,BsmtQual,GarageQual,FireplaceQu,HeatingQC,NB_Blmngtn,NB_Blueste,NB_BrDale,NB_BrkSide,NB_ClearCr,NB_CollgCr,NB_Crawfor,NB_Edwards,NB_Gilbert,NB_IDOTRR,NB_MeadowV,NB_Mitchel,NB_NAmes,NB_NPkVill,NB_NWAmes,NB_NoRidge,NB_NridgHt,NB_OldTown,NB_SWISU,NB_Sawyer,NB_SawyerW,NB_Somerst,NB_StoneBr,NB_Timber,NB_Veenker,SalePrice,above_median
8450,7,2003,2003,856,1710,2,2,8,0,196.0,2003.0,706,61,4,4,4,3,0,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,208500.0,1
9600,6,1976,1976,1262,1262,2,2,6,1,0.0,1976.0,978,0,3,3,4,3,3,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,181500.0,1
11250,7,2001,2002,920,1786,2,2,6,1,162.0,2001.0,486,42,4,4,4,3,3,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,223500.0,1
9550,7,1915,1970,756,1717,3,1,7,1,0.0,1998.0,216,35,3,4,3,3,4,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,140000.0,0
14260,8,2000,2000,1145,2198,3,2,9,1,350.0,2000.0,655,84,4,4,4,3,3,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,250000.0,1
14115,5,1993,1995,796,1362,2,1,5,0,0.0,1993.0,732,30,3,3,4,3,0,5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,143000.0,0
10084,8,2004,2005,1686,1694,2,2,7,1,186.0,2004.0,1369,57,4,4,5,3,4,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,307000.0,1
10382,7,1973,1973,1107,2090,2,2,7,2,240.0,1973.0,859,204,3,3,4,3,3,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,200000.0,1
6120,7,1931,1950,952,1774,2,2,8,2,0.0,1931.0,0,0,3,3,3,2,3,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,129900.0,0
7420,5,1939,1950,991,1077,1,1,5,2,0.0,1939.0,851,4,3,3,3,4,3,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,118000.0,0
11200,5,1965,1965,1040,1040,1,1,5,0,0.0,1965.0,906,0,3,3,3,3,0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,129500.0,0
11924,9,2005,2006,1175,2324,3,3,11,2,286.0,2005.0,998,21,5,5,5,3,4,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,345000.0,1
12968,5,1962,1962,912,912,1,1,4,0,0.0,1962.0,737,0,3,3,3,3,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,144000.0,0
10652,7,2006,2007,1494,1494,3,2,7,1,306.0,2006.0,0,33,4,4,4,3,4,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,279500.0,1
10920,6,1960,1960,1253,1253,1,1,5,1,212.0,1960.0,733,213,3,3,3,3,2,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,157000.0,0
6120,7,1929,2001,832,854,2,1,5,0,0.0,1991.0,0,112,3,3,3,3,0,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,132000.0,0
11241,6,1970,1970,1004,1004,2,1,5,1,180.0,1970.0,578,0,3,3,3,3,3,5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,149000.0,0
10791,4,1967,1967,0,1296,2,2,6,0,0.0,1967.0,0,0,3,3,0,3,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,90000.0,0
13695,5,2004,2004,1114,1114,2,1,6,0,0.0,2004.0,646,102,3,4,3,3,0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,159000.0,0
7560,5,1958,1965,1029,1339,1,1,6,0,0.0,1958.0,504,0,3,3,3,3,0,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,139000.0,0
14215,8,2005,2006,1158,2376,3,3,9,1,380.0,2005.0,0,154,4,4,5,3,4,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,325300.0,1
7449,7,1930,1950,637,1108,1,1,6,1,0.0,1930.0,0,0,3,4,3,3,4,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,139400.0,0
9742,8,2002,2002,1777,1795,2,2,7,1,281.0,2002.0,0,159,4,4,4,3,4,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,230000.0,1
4224,5,1976,1976,1040,1060,2,1,6,1,0.0,1976.0,840,110,3,3,4,3,3,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,129900.0,0
8246,5,1968,2001,1060,1060,1,1,6,1,0.0,1968.0,188,90,3,4,3,3,3,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,154000.0,0
14230,8,2007,2007,1566,1600,3,2,7,1,640.0,2007.0,0,56,4,4,4,3,4,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,256300.0,1
7200,5,1951,2000,900,900,2,1,5,0,0.0,2005.0,234,32,3,4,3,3,0,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,134800.0,0
11478,8,2007,2008,1704,1704,3,2,7,1,200.0,2008.0,1218,50,4,4,5,3,4,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,306000.0,1
16321,5,1957,1997,1484,1600,1,1,6,2,0.0,1957.0,1277,258,3,3,3,3,4,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,207500.0,1
6324,4,1927,1950,520,520,1,1,4,0,0.0,1920.0,0,0,3,2,3,2,0,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,68500.0,0
8500,4,1920,1950,649,1317,1,1,6,0,0.0,1920.0,0,54,3,3,3,3,0,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40000.0,0
8544,5,1966,2006,1228,1228,1,1,6,0,0.0,1966.0,0,65,3,4,3,3,0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,149350.0,0
11049,8,2007,2007,1234,1234,2,2,7,0,0.0,2007.0,0,30,4,4,5,3,0,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,179900.0,1
10552,5,1959,1959,1398,1700,2,1,6,1,0.0,1959.0,1018,38,3,4,3,3,4,4,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,165500.0,1
7313,9,2005,2005,1561,1561,2,2,6,1,246.0,2005.0,1153,47,5,5,5,3,4,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,277500.0,1
13418,8,2004,2005,1117,2452,3,3,9,1,132.0,2004.0,0,32,4,4,5,3,4,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,309000.0,1
10859,5,1994,1995,1097,1097,2,1,6,0,0.0,1995.0,0,64,3,3,4,3,0,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,145000.0,0
8532,5,1954,1990,1297,1297,2,1,5,1,650.0,1954.0,1213,0,3,3,3,3,3,4,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,153000.0,0
7922,5,1953,2007,1057,1057,1,1,5,0,0.0,1953.0,731,52,3,4,3,3,0,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,109000.0,0
6040,4,1955,1955,0,1152,0,2,6,0,0.0,1980.0,0,0,3,2,0,0,0,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,82000.0,0
8658,6,1965,1965,1088,1324,2,2,6,1,101.0,1965.0,643,138,3,3,3,3,3,5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,160000.0,0
16905,5,1959,1959,1350,1328,1,1,5,2,0.0,1959.0,967,104,3,3,3,3,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,170000.0,1
9180,5,1983,1983,840,884,2,1,5,0,0.0,1983.0,747,0,3,4,4,3,0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,144000.0,0
9200,5,1975,1980,938,938,1,1,5,0,0.0,1977.0,280,0,3,3,4,3,0,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,130250.0,0
7945,5,1959,1959,1150,1150,1,1,6,0,0.0,1959.0,179,0,3,3,3,3,0,5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,141000.0,0
7658,9,2005,2005,1752,1752,2,2,6,1,412.0,2005.0,456,82,5,5,5,3,4,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,319900.0,1
