web-scraper-order,web-scraper-start-url,Brands,Brands-href,Models,Models-href,Pages,Pages-href,Model,Network Technology,Announced,Status,Dimensions,Weight,Build,SIM,IP Rating,Display Type,Display Size,Display Resolution,Display Protection,Operating Software,Chipset,CPU,GPU,SD Card Slot,Internal Storage,Storage Type,Number of Rear Cameras,Camera,Camera Features,Rear Video,Number of Selfie Cameras,Selfie Features,Selfie Video,Headphone Jack,WLAN Technology,Bluetooth,NFC,Radio,USB,Sensors,UWB,Battery,Charging,Colors,Loudspeaker,Battery Life,Price,Approx Price
"1672838070-12756","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","nubia X 5G","https://www.gsmarena.com/zte_nubia_x_5g-9755.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE nubia X 5G","GSM / CDMA / HSPA / EVDO / LTE / 5G","Not announced yet","Cancelled","-","-","Glass front (Gorilla Glass 3), glass back, aluminum frame","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","null","IPS LCD","6.26 inches, 97.8 cm2","1080 x 2280 pixels, 19:9 ratio (~403 ppi density)","Corning Gorilla Glass 3","Android 9.0 (Pie)","Qualcomm SM8150 Snapdragon 855 (7 nm)","Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)","Adreno 640","No","64GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","null","Dual","16 MP, f/1.8, PDAF

24 MP, f/1.7, PDAF","Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps","Dual","Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps","No","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE","No","No","USB Type-C, OTG","Dual fingerprint (side-mounted), accelerometer, gyro, proximity, compass","null","Li-Po 3800 mAh, non-removable","18W wired, QC4","Blue Gold, Sea Blue, Black Gold, Deep Gray, Starry Night (512 GB only)","null","null","null","null"
"1672838072-12757","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","Blade V20","https://www.gsmarena.com/zte_blade_v20-9913.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE Blade V20","GSM / HSPA / LTE","Not announced yet","Cancelled","-","-","null","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","null","IPS LCD","6.1 inches, 91.3 cm2","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","null","Android 9.0 (Pie), MiFavor 9.0","null","Octa-core 2.0 GHz","null","microSDXC","64GB 4GB RAM","null","Triple","16 MP, PDAF

8 MP, (ultrawide)

2 MP, (depth)","LED flash, HDR, panorama","1080p@30fps","Single","LED flash","","Yes","Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct","4.2, A2DP, LE","No","FM radio","USB Type-C","Fingerprint (rear-mounted), accelerometer, proximity, compass","null","Li-Po 5000 mAh, non-removable","18W wired","Black, Blue","null","null","null","null"
"1672838074-12758","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","Coral200 Sollar","https://www.gsmarena.com/zte_coral200_sollar-3213.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE Coral200 Sollar","GSM","2007, May. Released 2007","Discontinued","106 x 45.6 x 18.1 mm (4.17 x 1.80 x 0.71 in)","85 g (3.00 oz)","null","Mini-SIM","null","CSTN, 65K colors","","128 x 128 pixels, 1:1 ratio","null","null","null","null","null","No","4MB","null","Loudspeaker","No","null","null","WLAN","null","null","No","No","No","null","No","No","","Calculator

Predictive text input","Removable Li-Ion 690 mAh battery","null","Black","null","null","null","null"
"1672838076-12759","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","F100","https://www.gsmarena.com/zte_f100-3100.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE F100","GSM / UMTS","2009. Released 2009","Discontinued","105 x 46 x 12.6 mm (4.13 x 1.81 x 0.50 in)","90 g (3.17 oz)","null","Mini-SIM","null","TFT, 65K colors","2.0 inches, 12.6 cm2 (~26.1% screen-to-body ratio)","176 x 220 pixels (~141 ppi density)","null","null","null","null","null","microSDHC (dedicated slot)","null","null","Single","2 MP","null","Yes","Loudspeaker","null","","No","No","2.1, A2DP","null","FM radio","2.0","","Organizer

Voice memo","Removable Li-Ion 1000 mAh battery","null","White, Red, Green","null","null","null","null"
"1672838078-12760","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","F101","https://www.gsmarena.com/zte_f101-3101.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE F101","GSM / UMTS","2009. Released 2009","Discontinued","105 x 46 x 12.6 mm (4.13 x 1.81 x 0.50 in)","90 g (3.17 oz)","null","Mini-SIM","null","TFT, 65K colors","2.0 inches, 12.6 cm2 (~26.1% screen-to-body ratio)","176 x 220 pixels (~141 ppi density)","null","null","null","null","null","microSDHC (dedicated slot)","null","null","Single","2 MP","null","Yes","Loudspeaker","null","","No","No","2.1, A2DP","null","FM radio","2.0","","Organizer

Voice memo","Removable Li-Ion 1000 mAh battery","null","White, Red, Green","null","null","null","null"
"1672838080-12761","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","F103","https://www.gsmarena.com/zte_f103-3099.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE F103","GSM / UMTS","2009. Released 2009","Discontinued","105 x 46 x 12.6 mm (4.13 x 1.81 x 0.50 in)","90 g (3.17 oz)","null","Mini-SIM","null","TFT, 65K colors","2.0 inches, 12.6 cm2 (~26.1% screen-to-body ratio)","176 x 220 pixels (~141 ppi density)","null","null","null","null","null","microSDHC (dedicated slot)","null","null","Single","2 MP","null","Yes","Loudspeaker","null","","No","No","2.1, A2DP","null","FM radio","2.0","","Organizer

Voice memo","Removable Li-Ion 1000 mAh battery","null","Black, Silver","null","null","null","null"
"1672838083-12762","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","F600","https://www.gsmarena.com/zte_f600-3102.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE F600","GSM / UMTS","2009. Released 2009","Discontinued","103 x 48 x 13.5 mm (4.06 x 1.89 x 0.53 in)","90 g (3.17 oz)","null","Mini-SIM","null","TFT, 65K colors","2.4 inches, 17.8 cm2 (~36.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","null","null","null","null","null","microSDHC (dedicated slot)","null","null","Single","3.15 MP","null","Yes","Loudspeaker","null","","No","No","2.1, A2DP","null","FM radio","2.0","","Organizer

Voice memo","Removable Li-Ion 800 mAh battery","null","Black","null","null","null","null"
"1672838085-12763","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","F870","https://www.gsmarena.com/zte_f870-3103.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE F870","GSM / HSPA","2009. Released 2009","Discontinued","108 x 55.5 x 12.6 mm (4.25 x 2.19 x 0.50 in)","100 g (3.53 oz)","null","Mini-SIM","null","TFT resistive touchscreen, 65K colors","3.2 inches, 29.1 cm2 (~48.6% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","null","null","null","null","null","microSDHC (dedicated slot)","null","null","Single","5 MP","null","Yes","Loudspeaker","null","","No","No","2.1, A2DP","null","Stereo FM radio, RDS","2.0","Accelerometer","MP3/WAV/eAAC+ player

MP4/H.264 player

Organizer

Voice memo

Predictive text input","Removable Li-Ion 1250 mAh battery","null","Black, Red, Brown","null","null","null","null"
"1672838087-12764","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","F928","https://www.gsmarena.com/zte_f928-3104.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE F928","GSM / HSPA","2008, September. Released 2008, September","Discontinued","103 x 51.5 x 17.6 mm (4.06 x 2.03 x 0.69 in)","100 g (3.53 oz)","null","Mini-SIM","null","TFT, 65K colors","","240 x 320 pixels, 4:3 ratio","null","null","null","null","null","microSDHC (dedicated slot)","null","null","Single","2 MP","null","Yes","Loudspeaker","null","","No","No","2.1, A2DP","null","No","2.0","","Organizer

MP3/WAV/eAAC+ player

MP4/H.264 player

Voice memo","Removable Li-Ion 900 mAh battery","null","Black","null","null","null","null"
"1672838089-12765","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","F952","https://www.gsmarena.com/zte_f952-3105.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE F952","GSM / HSPA","2009. Released 2009","Discontinued","108 x 55.5 x 12.6 mm (4.25 x 2.19 x 0.50 in)","100 g (3.53 oz)","null","Mini-SIM","null","TFT resistive touchscreen, 256K colors","3.2 inches, 29.1 cm2 (~48.6% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","null","null","null","null","null","microSDHC (dedicated slot)","null","null","Single","5 MP, AF","null","Yes","Loudspeaker","null","","No","No","2.1, A2DP","null","Stereo FM radio, RDS","2.0","Accelerometer","Organizer

MP3/WAV/eAAC+ player

MP4/H.264 player

Voice memo","Removable Li-Ion 1250 mAh battery","null","Black","null","null","null","null"
"1672838091-12766","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","F912","https://www.gsmarena.com/zte_f912-3111.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE F912","GSM / HSPA","2008, January. Released 2008, January","Discontinued","105 x 51.8 x 21 mm (4.13 x 2.04 x 0.83 in)","-","null","Mini-SIM","null","TFT, 256K colors","2.2 inches, 15.0 cm2 (~27.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","null","null","null","null","null","microSDHC (dedicated slot)","60MB","null","Single","2 MP","null","Yes","Loudspeaker","null","","No","No","2.1, A2DP","null","No","miniUSB 2.0","","DVB-H broadcasting

MP3/AAC+ player

MP4/H.264 player

Photo editor

Organizer

Voice memo","Removable Li-Ion 1000 mAh battery","null","Black","null","null","null","null"
"1672838093-12767","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","F233","https://www.gsmarena.com/zte_f233-3110.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE F233","GSM / HSPA","2009. Released 2009, May","Discontinued","94 x 48 x 18.9 mm (3.70 x 1.89 x 0.74 in)","90 g (3.17 oz)","null","Mini-SIM","null","TFT, 256K colors","2.0 inches, 12.6 cm2 (~27.9% screen-to-body ratio)","176 x 220 pixels (~141 ppi density)","null","null","null","null","null","microSDHC (dedicated slot)","null","null","Single","2 MP","null","Yes","Loudspeaker","null","","No","No","2.1, A2DP","null","No","2.0","","Organizer

Voice memo","Removable Li-Ion 830 mAh battery","null","Black","null","null","null","null"
"1672838095-12768","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","A261","https://www.gsmarena.com/zte_a261-3214.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE A261","GSM","2009. Released 2009","Discontinued","108.5 x 46.8 x 13.3 mm (4.27 x 1.84 x 0.52 in)","75 g (2.65 oz)","null","Mini-SIM","null","CSTN, 65K colors","","128 x 160 pixels","null","null","null","null","null","No","null","null","Loudspeaker","No","null","null","WLAN","null","null","No","No","No","null","No","No","","Calculator

Predictive text input","Removable Li-Ion battery","null","Black","null","null","null","null"
"1672838098-12769","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","S302","https://www.gsmarena.com/zte_s302-3222.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE S302","GSM","2009. Released 2009","Discontinued","103 x 49 x 14.8 mm (4.06 x 1.93 x 0.58 in)","79 g (2.79 oz)","null","Mini-SIM","null","Monochrome graphic","","128 x 48 pixels","null","null","null","null","null","No","null","null","Loudspeaker","No","null","null","WLAN","null","null","No","No","No","null","FM radio","No","","Calculator","Removable Li-Ion 1000 mAh battery","null","Black, White on Orange","null","null","null","null"
"1672838100-12770","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","Xiang","https://www.gsmarena.com/zte_xiang-3112.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE Xiang","GSM / HSPA","2009. Released 2009, March","Discontinued","114 x 66 x 11.9 mm (4.49 x 2.60 x 0.47 in)","120 g (4.23 oz)","null","Mini-SIM","null","TFT resistive touchscreen, 65K colors","2.5 inches, 19.4 cm2 (~25.7% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~160 ppi density)","null","Microsoft Windows Mobile 6.1 Professional","Qualcomm MSM7225 Snapdragon S1","528 MHz ARM 11","No","microSDHC (dedicated slot)","256MB RAM, 128MB ROM","null","Single","3.2 MP, AF","LED flash","Yes","Single","null","","No","Wi-Fi 802.11b/g","2.0, A2DP","null","Stereo FM radio, RDS","microUSB 2.0","","Pocket Office 

Organizer

WAV/WMA/eAAC+/MP3 player

MP4/WMV/H.264 player

Voice memo

Predictive text input","Removable Li-Ion 1300 mAh battery","null","Black, Silver","null","null","null","null"
"1672838102-12771","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","Raise","https://www.gsmarena.com/zte_raise-3113.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE Raise","GSM / HSPA","2009. Released 2009, May","Discontinued","112 x 57 x 12.5 mm (4.41 x 2.24 x 0.49 in)","146 g (5.15 oz)","null","Mini-SIM","null","TFT resistive touchscreen, 65K colors","3.2 inches, 31.7 cm2 (~49.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~125 ppi density)","null","Microsoft Windows Mobile 6.1 Professional","null","null","null","microSDHC (dedicated slot)","null","null","Single","5 MP, AF","LED flash","Yes","Single","null","","Yes","Wi-Fi 802.11b/g","2.0, A2DP","null","Stereo FM radio, RDS","microUSB 2.0","","DVB-H broadcasting

Pocket Office 

Organizer

WAV/WMA/eAAC+/MP3 player

MP4/WMV/H.264 player

Voice memo/dial

Predictive text input","Removable Li-Ion 1250 mAh battery","null","Black","null","null","null","null"
"1672838104-12772","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","E811","https://www.gsmarena.com/zte_e811-3114.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE E811","GSM","2009. Released 2009, April","Discontinued","113 x 65.4 x 14.5 mm (4.45 x 2.57 x 0.57 in)","130 g (4.59 oz)","null","Mini-SIM","null","TFT, 256K colors","2.5 inches, 19.4 cm2 (~26.2% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~160 ppi density)","null","null","null","null","null","microSDHC (dedicated slot)","null","null","","2 MP","null","Yes","Loudspeaker","null","null","No","No","2.0, A2DP","null","null","microUSB 2.0","","Organizer

MP3/WMA/eAAC+ player

MP4/H.264 player

Voice memo

Predictive text input","Removable Li-Ion battery","null","Black","null","null","null","null"
"1672838106-12773","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","X760","https://www.gsmarena.com/zte_x760-3120.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE X760","GSM","2009, March. Released 2009, March","Discontinued","93 x 52 x 16 mm (3.66 x 2.05 x 0.63 in)","84 g (2.96 oz)","null","Mini-SIM","null","TFT, 65K colors","2.4 inches, 17.8 cm2 (~36.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","null","null","null","null","null","microSDHC (dedicated slot)","null","null","","1.3 MP","null","Yes","Loudspeaker","null","null","No","No","2.0","null","Stereo FM radio, RDS","miniUSB 2.0","","MP3/MP4 player

Organizer

Voice memo

Predictive text input","Removable Li-Ion battery","null","Black, Pink","null","null","null","null"
"1672838108-12774","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","Bingo","https://www.gsmarena.com/zte_bingo-3197.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE Bingo","GSM / HSPA","2010, February. Released Exp. release 2010, Q1","Discontinued","-","-","null","Mini-SIM","null","TFT resistive touchscreen, 256K colors","3.2 inches, 31.7 cm2","240 x 320 pixels, 4:3 ratio (~125 ppi density)","null","null","null","null","null","microSDHC (dedicated slot)","null","null","Single","5 MP, AF","LED flash","Yes","Loudspeaker","null","","No","","2.0, A2DP","null","null","microUSB 2.0","Accelerometer","WAV/WMA/eAAC+/MP3 player

MP4/WMV/H.264 player

Organizer

Voice memo

Predictive text input","Removable Li-Ion battery","null","Black","null","null","null","null"
"1672838111-12775","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","X990","https://www.gsmarena.com/zte_x990-3244.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE X990","GSM","2010, March. Released 2010, March","Discontinued","107 x 61 x 12 mm (4.21 x 2.40 x 0.47 in)","90 g (3.17 oz)","null","Mini-SIM","null","TFT resistive touchscreen, 256K colors","2.5 inches, 19.4 cm2 (~29.7% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~160 ppi density)","null","Microsoft Windows Mobile 6.5 Professional","null","null","null","microSDHC (dedicated slot)","5MB","null","Single","2 MP","null","Yes","","null","null","No","No","2.0, A2DP","null","Stereo FM radio, RDS","microUSB 2.0","","Windows Live Messenger

MP3/WMA/eAAC+ player

MP4/H.264 player

MS Office 

Organizer

Voice memo

Predictive text input","Removable Li-Ion battery","null","White","null","null","null","null"
"1672838113-12776","https://www.gsmarena.com/makers.php3","ZTE
346 devices","https://www.gsmarena.com/zte-phones-62.php","F951","https://www.gsmarena.com/zte_f951-3489.php","9","https://www.gsmarena.com/zte-phones-f-62-0-p9.php","ZTE F951","GSM / HSPA","2010. Released 2010","Discontinued","108 x 55.5 x 12.6 mm (4.25 x 2.19 x 0.50 in)","100 g (3.53 oz)","null","Mini-SIM","null","TFT resistive touchscreen, 256K colors","3.2 inches, 29.1 cm2 (~48.6% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","null","null","null","null","null","microSDHC (dedicated slot)","null","null","Single","5 MP, AF","null","Yes","Loudspeaker","null","","No","No","2.1, A2DP","null","Stereo FM radio, RDS","2.0","Accelerometer","Mobile TV

Organizer

MP3/WAV/eAAC+ player

MP4/H.264 player

Voice memo","Removable Li-Ion 1250 mAh battery","null","Black","null","null","null","null"
